,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
130,Money (That's What I Want),With the Beatles,Berry GordyJanie Bradford,Lennon,1963,[52]
131,Mother Nature's Son,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
132,Mr. Moonlight,Beatles for Sale,Roy Lee Johnson,Lennon,1964,[59]
133,The Night Before,Help!,LennonMcCartney,McCartney,1965,[51]
134,No Reply,Beatles for Sale,LennonMcCartney,Lennon,1964,[59]
135,Norwegian Wood (This Bird Has Flown),Rubber Soul,LennonMcCartney,Lennon,1965,[67]
136,Not a Second Time,With the Beatles,LennonMcCartney,Lennon,1963,[52]
137,Nowhere Man,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
138,"Ob-La-Di, Ob-La-Da","The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
139,Octopus's Garden,Abbey Road,Starkey,Starr,1969,[62]
140,Oh! Darling,Abbey Road,LennonMcCartney,McCartney,1969,[62]
141,Old Brown Shoe,"Past Masters(B-side of ""The Ballad of John and Yoko"")",Harrison,Harrison,1969,[50][61]
142,One After 909,Let It Be,LennonMcCartney,Lennon(with McCartney),1970,[49]
143,Only a Northern Song,Yellow Submarine,Harrison,Harrison,1969,[53]
144,Paperback Writer,Past Masters,LennonMcCartney,McCartney,1966,[50][86]
145,Penny Lane,"Magical Mystery Tour(Double A-side with ""Strawberry Fields Forever"")",LennonMcCartney,McCartney,1967,[55][87]
146,Piggies,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
147,Please Mr. Postman,With the Beatles,Georgia DobbinsWilliam GarrettBrian HollandRobert BatemanFreddie Gorman,Lennon,1963,[52]
148,Please Please Me,Please Please Me,LennonMcCartney,LennonMcCartney,1963,[58]
149,Polythene Pam,Abbey Road,LennonMcCartney,Lennon,1969,[62]
150,P.S. I Love You,Please Please Me,LennonMcCartney,McCartney,1962,[58]
151,Rain,"Past Masters(B-side of ""Paperback Writer"")",LennonMcCartney,Lennon,1966,[50][86]
152,Revolution,"Past Masters(B-side of ""Hey Jude"")",LennonMcCartney,Lennon,1968,[50][71]
153,Revolution 1,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
154,Revolution 9,"The Beatles (""White Album"")",LennonMcCartney,Sound Collage,1968,[60]
155,Rock and Roll Music,Beatles for Sale,Chuck Berry,Lennon,1964,[59]
156,Rocky Raccoon,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
157,Roll Over Beethoven,With the Beatles,Chuck Berry,Harrison,1963,[52]
158,Run for Your Life,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
159,Savoy Truffle,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
160,Sexy Sadie,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
161,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
162,Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartneyLennonHarrison,1967,[63]
163,She Came In Through the Bathroom Window,Abbey Road,LennonMcCartney,McCartney,1969,[62]
164,She Loves You,Past Masters,LennonMcCartney,LennonMcCartney,1963,[50][75]
165,She Said She Said,Revolver,LennonMcCartney,Lennon,1966,[57]
166,She's a Woman,"Past Masters(B-side of ""I Feel Fine"")",LennonMcCartney,McCartney,1964,[50][73]
167,She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney(with Lennon),1967,[63]
168,Sie liebt dich,"Past Masters(B-side of ""Komm, gib mir deine Hand"")",LennonMcCartneyJean NicolasLee Montogue,LennonMcCartney,1964,[50][78]
169,Slow Down,Past Masters,Larry Williams,Lennon,1964,[50]
170,Something,Abbey Road,Harrison,Harrison,1969,[62]
171,Strawberry Fields Forever,"Magical Mystery Tour(Double A-side with ""Penny Lane"")",LennonMcCartney,Lennon,1967,[55][87]
172,Sun King,Abbey Road,LennonMcCartney,Lennon(with McCartneyand Harrison),1969,[62]
173,A Taste of Honey,Please Please Me,Bobby ScottRic Marlow,McCartney,1963,[58]
174,Taxman,Revolver,Harrison,Harrison,1966,[57]
175,Tell Me What You See,Help!,LennonMcCartney,McCartney(with Lennon),1965,[51]
176,Tell Me Why,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
177,Thank You Girl,"Past Masters(B-side of ""From Me to You"")",LennonMcCartney,Lennon(with McCartney),1963,[50][68]
178,There's a Place,Please Please Me,LennonMcCartney,LennonMcCartney,1963,[58]
179,Things We Said Today,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
180,Think for Yourself,Rubber Soul,Harrison,Harrison,1965,[67]
181,This Boy,"Past Masters(B-side of ""I Want to Hold Your Hand"" (UK))",LennonMcCartney,Lennon(with McCartneyand Harrison),1963,[50][74]
182,Ticket to Ride,Help!,LennonMcCartney,Lennon,1965,[51]
183,Till There Was You,With the Beatles,Meredith Willson,McCartney,1963,[52]
184,Tomorrow Never Knows,Revolver,LennonMcCartney,Lennon,1966,[57]
185,Twist and Shout,Please Please Me,Phil MedleyBert Berns,Lennon,1963,[58]
186,Two of Us,Let It Be,LennonMcCartney,McCartney(with Lennon),1970,[49]
187,Wait,Rubber Soul,LennonMcCartney,LennonMcCartney,1965,[67]
188,We Can Work It Out,"Past Masters(Double A-side with ""Day Tripper"")",LennonMcCartney,McCartney,1965,[50][64]
189,What Goes On,Rubber Soul,LennonMcCartneyStarkey,Starr,1965,[67]
190,What You're Doing,Beatles for Sale,LennonMcCartney,McCartney,1964,[59]
191,When I Get Home,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
192,When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
193,While My Guitar Gently Weeps,"The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
194,Why Don't We Do It in the Road?,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
195,Wild Honey Pie,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
196,With a Little Help from My Friends,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Starr,1967,[63]
197,Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,Harrison,Harrison,1967,[63]
198,The Word,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
199,Words of Love,Beatles for Sale,Buddy Holly,LennonMcCartney,1964,[59]
200,Yellow Submarine,Revolver,LennonMcCartney,Starr,1966,[57]
201,Yer Blues,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
202,Yes It Is,"Past Masters(B-side of ""Ticket to Ride"")",LennonMcCartney,Lennon(with McCartneyand Harrison),1965,[50][92]
203,Yesterday,Help!,LennonMcCartney,McCartney,1965,[51]
204,You Can't Do That,A Hard Day's Night,LennonMcCartney,Lennon,1964,[56]
205,You Know My Name (Look Up the Number),"Past Masters(B-side of ""Let It Be"")",LennonMcCartney,LennonMcCartney,1970,[50][93]
206,You Like Me Too Much,Help!,Harrison,Harrison,1965,[51]
207,You Never Give Me Your Money,Abbey Road,LennonMcCartney,McCartney,1969,[62]
208,You Won't See Me,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
209,Your Mother Should Know,Magical Mystery Tour,LennonMcCartney,McCartney,1967,[55]
210,You're Going to Lose That Girl,Help!,LennonMcCartney,Lennon,1965,[51]
211,You've Got to Hide Your Love Away,Help!,LennonMcCartney,Lennon,1965,[51]
212,You Really Got a Hold on Me,With the Beatles,Smokey Robinson,LennonHarrison,1963,[52]
